127.0.0.1 - - [28/Feb/2014:03:44:15 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:44:15 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 157
127.0.0.1 - - [28/Feb/2014:03:44:55 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:44:55 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:44:55 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 184
127.0.0.1 - - [28/Feb/2014:03:45:03 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:45:03 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:45:03 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 169
127.0.0.1 - - [28/Feb/2014:03:45:12 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:45:12 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:45:12 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 158
127.0.0.1 - - [28/Feb/2014:03:45:21 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
